N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,Net Occupancy Base %,Net Occupancy Tract,Residential Real Estate Value Score,Residential Real Estate Value Base,Residential Real Estate Value Tract,Acres of Park Land Score,Acres of Park Land Base,Acres of Park Land Tract,Affordable Housing Score,Affordable Housing Base,Affordable Housing Tract,Internet Access Score,Internet Access Base,Internet Access Tract,Travel Time to Work Score,Travel Time to Work Base,Travel Time to Work Tract,Economy,Economy Growth,Economy Inclusion,New Businesses Score,New Businesses Base,New Businesses Tract,Spend Growth Score,Spend Growth Base,Spend Growth Tract,Small Business Loans Score,Small Business Loans Base,Small Business Loans Tract,Minority/Women Owned Businesses Score,Minority/Women Owned Businesses Base,Minority/Women Owned Businesses Tract,Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,Commercial Diversity Base,Commercial Diversity Tract,Community,Community Growth,Community Inclusion,Personal Income Score,Personal Income Base,Personal Income Tract,Spending per Capita Score,Spending per Capita Base,Spending per Capita Tract,Female Above Poverty Score,Female Above Poverty Base,Female Above Poverty Tract,Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,Early Education Enrollment Base,Early Education Enrollment Tract,Health Insurance Coverage Score,Health Insurance Coverage Base,Health Insurance Coverage Tract
0,,1121011100,Talladega County,Alabama,2017,43,43,43,56,74,38,76,-0.1,72.0,19.0,87,15.6,79.8,79.2,73.5,8,73.7,45,52,72,41.2,,,3.0,99.0,4.3,17.4,5,35,,,28,39,4.2,-3.9,,31,81.4,66,40.2,21.0,23.0,13.7,37,87.3,,,,,,,,,,,,,,,,,,,,,
1,,1121011100,Talladega County,Alabama,2018,50,54,45,59,76,42,81,-0.3,72.0,26.3,87,15.6,80.5,81.9,73.5,10,73.3,61,52,72,41.2,,,0.6,99.0,4.3,17.4,6,35,,,28,40,5.9,-3.4,,35,81.7,65,40.4,14.0,23.0,10.9,46,89.9,,,,,,,,,,,,,,,,,,,,,
2,,1121011100,Talladega County,Alabama,2019,40,34,45,57,72,42,76,-0.4,67.0,24.7,87,15.6,81.0,82.0,74.7,11,73.0,31,53,11,-4.2,,,5.3,99.0,4.3,17.4,7,35,,,31,41,8.4,2.2,,38,82.0,69,40.2,13.0,22.9,10.5,44,90.9,,,,,,,,,,,,,,,,,,,,,
3,,1121011100,Talladega County,Alabama,2020,42,37,46,46,49,42,52,-0.4,46.0,10.0,87,15.6,81.3,82.1,75.9,17,72.5,32,50,17,-4.3,,,6.0,91.0,3.9,9.1,9,34,,,47,45,10.9,15.1,,38,82.5,71,39.9,18.0,22.9,12.0,54,93.0,,,,,,,,,,,,,,,,,,,,,
4,,1121011100,Talladega County,Alabama,2021,50,50,51,38,46,31,41,-1.7,51.0,11.6,87,15.6,82.0,74.0,81.4,15,71.6,46,53,12,-9.1,,,8.5,99.0,5.5,25.0,7,34,,,68,70,11.8,28.1,,71,84.1,66,40.0,81.0,24.6,39.7,62,94.8,,,,,,,,,,,,,,,,,,,,,
5,,1121011100,Talladega County,Alabama,2022,56,56,55,42,50,34,37,-1.4,62.0,30.5,87,15.6,81.8,74.5,83.2,23,71.3,52,56,62,10.0,,,12.2,97.0,5.2,18.2,16,33,,,72,75,12.9,47.6,,67,84.3,55,41.4,100.0,24.7,100.0,78,96.2,,,,,,,,,,,,,,,,,,,,,
6,,1121011100,Talladega County,Alabama,2023,50,58,42,42,46,39,37,-1.2,54.0,38.8,87,15.6,81.1,75.0,84.7,35,71.2,54,52,62,50.0,,,-7.2,89.0,3.9,9.1,16,33,,,52,34,14.5,71.9,,39,84.3,3,54.8,25.0,25.5,15.9,69,95.3,,,,,,,,,,,,,,,,,,,,,
7,,1121011100,Talladega County,Alabama,2024,50,59,41,42,46,39,37,-1.2,54.0,38.8,87,15.6,81.1,75.0,84.7,35,71.2,56,51,69,15.2,,,-7.2,86.0,3.8,7.9,16,33,,,52,34,14.5,71.9,,39,84.3,3,54.8,25.0,25.5,15.9,69,95.3,,,,,,,,,,,,,,,,,,,,,
8,,1121010700,Talladega County,Alabama,2017,39,28,50,45,36,54,1,-0.1,71.0,180.5,42,1.5,79.8,89.7,73.5,38,73.7,42,50,3,-22.2,,,3.0,98.0,4.3,16.7,2,35,,,30,46,4.2,-3.8,,6,81.4,44,42.9,91.0,23.0,42.9,43,88.1,,,,,,,,,,,,,,,,,,,,,
9,,1121010700,Talladega County,Alabama,2018,38,26,51,42,36,48,1,-0.3,71.0,186.4,42,1.5,80.5,86.2,73.5,27,73.3,42,50,3,-22.2,,,0.6,98.0,4.3,16.7,1,35,,,32,54,5.9,-5.4,,6,81.7,80,38.6,98.0,23.0,58.9,34,88.1,,,,,,,,,,,,,,,,,,,,,
