N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,Net Occupancy Base, %,Net Occupancy Tract, %.1,Residential Real Estate Value Score,Residential Real Estate Value Base, %.2,Residential Real Estate Value Tract, %.3,Acres of Park Land Score,Acres of Park Land Base, %.4,Acres of Park Land Tract, %.5,Affordable Housing Score,Affordable Housing Base, %.6,Affordable Housing Tract, %.7,Internet Access Score,Internet Access Base, %.8,Internet Access Tract, %.9,Travel Time to Work Score,Travel Time to Work Base, %.10,Travel Time to Work Tract, %.11,Economy,Economy Growth,Economy Inclusion,New Businesses Score,New Businesses Base, %.12,New Businesses Tract, %.13,Spend Growth Score,Spend Growth Base, %.14,Spend Growth Tract, %.15,Small Business Loans Score,Small Business Loans Base, %.16,Small Business Loans Tract, %.17,Minority/Women Owned Businesses Score,Minority/Women Owned Businesses Base, %.18,Minority/Women Owned Businesses Tract, %.19,Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,Commercial Diversity Base, %.20,Commercial Diversity Tract, %.21,Community,Community Growth,Community Inclusion,Personal Income Score,Personal Income Base, %.22,Personal Income Tract, %.23,Spending per Capita Score,Spending per Capita Base, %.24,Spending per Capita Tract, %.25,Female Above Poverty Score,Female Above Poverty Base, %.26,Female Above Poverty Tract, %.27,Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,Early Education Enrollment Base, %.28,Early Education Enrollment Tract, %.29,Health Insurance Coverage Score,Health Insurance Coverage Base, %.30,Health Insurance Coverage Tract, %.31
0,,1121011100,Talladega County,Alabama,2017,43,43,43,56,74,38,76,-0.1,4.4,72.0,-2.2,19.0,87,2.1,15.6,47,79.8,79.2,11,73.5,58.8,8,73.7,52.3,45,38,52,72,0.6,41.2,,,,3,3.0,-45.5,99.0,4.3,17.4,5,35,6,,,,28,18,39,18,4.2,-3.9,,,,31,81.4,75.2,66,42.1,40.2,21.0,23.0,13.7,37,89.1,87.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1121011100,Talladega County,Alabama,2018,50,54,45,59,76,42,81,-0.3,6.0,72.0,1.3,26.3,87,2.1,15.6,59,80.5,81.9,11,73.5,58.8,10,73.3,54.0,61,70,52,72,0.6,41.2,,,,68,0.6,133.3,99.0,4.3,17.4,6,35,6,,,,28,15,40,15,5.9,-3.4,,,,35,81.7,77.2,65,42.3,40.4,14.0,23.0,10.9,46,90.3,89.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1121011100,Talladega County,Alabama,2019,40,34,45,57,72,42,76,-0.4,3.9,67.0,6.5,24.7,87,2.1,15.6,58,81.0,82.0,10,74.7,59.7,11,73.0,55.2,31,9,53,11,11.2,-4.2,,,,7,5.3,-25.0,99.0,4.3,17.4,7,35,7,,,,31,21,41,21,8.4,2.2,,,,38,82.0,78.8,69,42.5,40.2,13.0,22.9,10.5,44,91.5,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,1121011100,Talladega County,Alabama,2020,42,37,46,46,49,42,52,-0.4,-1.5,46.0,12.0,10.0,87,2.1,15.6,56,81.3,82.1,9,75.9,61.0,17,72.5,58.7,32,14,50,17,5.6,-4.3,,,,10,6.0,-19.0,91.0,3.9,9.1,9,34,8,,,,47,49,45,49,10.9,15.1,,,,38,82.5,79.1,71,42.6,39.9,18.0,22.9,12.0,54,92.6,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,1121011100,Talladega County,Alabama,2021,50,50,51,38,46,31,41,-1.7,-7.5,51.0,9.4,11.6,87,2.1,15.6,14,82.0,74.0,9,81.4,67.3,15,71.6,55.9,46,39,53,12,4.5,-9.1,,,,66,8.5,82.4,99.0,5.5,25.0,7,34,7,,,,68,66,70,66,11.8,28.1,,,,71,84.1,88.8,66,42.0,40.0,81.0,24.6,39.7,62,93.5,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1121011100,Talladega County,Alabama,2022,56,56,55,42,50,34,37,-1.4,-12.7,62.0,13.0,30.5,87,2.1,15.6,16,81.8,74.5,9,83.2,69.1,23,71.3,60.7,52,48,56,62,-6.7,10.0,,,,33,12.2,9.7,97.0,5.2,18.2,16,33,13,,,,72,70,75,70,12.9,47.6,,,,67,84.3,88.1,55,42.1,41.4,100.0,24.7,100.0,78,93.4,96.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1121011100,Talladega County,Alabama,2023,50,58,42,42,46,39,37,-1.2,-13.6,54.0,30.7,38.8,87,2.1,15.6,21,81.1,75.0,12,84.7,73.7,35,71.2,66.0,54,56,52,62,24.1,50.0,,,,50,-7.2,8.8,89.0,3.9,9.1,16,33,13,,,,52,71,34,71,14.5,71.9,,,,39,84.3,81.3,3,42.1,54.8,25.0,25.5,15.9,69,93.2,95.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,1121011100,Talladega County,Alabama,2024,50,59,41,42,46,39,37,-1.2,-13.6,54.0,30.7,38.8,87,2.1,15.6,21,81.1,75.0,12,84.7,73.7,35,71.2,66.0,56,60,51,69,-3.3,15.2,,,,50,-7.2,8.8,86.0,3.8,7.9,16,33,13,,,,52,71,34,71,14.5,71.9,,,,39,84.3,81.3,3,42.1,54.8,25.0,25.5,15.9,69,93.2,95.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1121010700,Talladega County,Alabama,2017,39,28,50,45,36,54,1,-0.1,-29.8,71.0,-2.2,180.5,42,2.1,1.5,97,79.8,89.7,37,73.5,70.2,38,73.7,69.3,42,34,50,3,0.6,-22.2,,,,66,3.0,80.0,98.0,4.3,16.7,2,35,2,,,,30,15,46,15,4.2,-3.8,,,,6,81.4,56.3,44,42.1,42.9,91.0,23.0,42.9,43,89.1,88.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1121010700,Talladega County,Alabama,2018,38,26,51,42,36,48,1,-0.3,-25.9,71.0,1.3,186.4,42,2.1,1.5,87,80.5,86.2,37,73.5,70.2,27,73.3,64.7,42,34,50,3,0.6,-22.2,,,,64,0.6,44.4,98.0,4.3,16.7,1,35,1,,,,32,9,54,9,5.9,-5.4,,,,6,81.7,56.5,80,42.3,38.6,98.0,23.0,58.9,34,90.3,88.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
