tract_fips,Year,Inclusive Growth Score,Growth,Inclusion,Place,Economy,Community,Internet Access Score,Affordable Housing Score,Labor Market Engagement Index Score,Personal Income Score,Gini Coefficient Score,Health Insurance Coverage Score,Minority/Women Owned Businesses Score,Small Business Loans Score,median_household_income,gini_index,per_capita_income,total_pop_poverty_status,income_below_poverty,total_pop_education,high_school_graduate,bachelors_degree,masters_degree,professional_degree,doctorate_degree,total_pop_employment_status,in_labor_force,employed,unemployed,total_renter_households,rent_30_35_percent_income,rent_35_40_percent_income,rent_40_50_percent_income,rent_50_plus_percent_income,median_home_value,total_households_internet,has_computer_with_broadband,has_computer_no_internet,no_computer,total_population,median_age,total_pop_race,white_alone,black_alone,hispanic_latino,total_families_poverty,families_below_poverty,female_householder_below_poverty,tract_name,poverty_rate,high_school_or_higher_rate,bachelors_or_higher_rate,unemployment_rate,labor_force_participation_rate,housing_cost_burden_rate,broadband_access_rate,computer_access_rate,white_alone_pct,black_alone_pct,hispanic_latino_pct,county_unemployment_rate,county_labor_force,hud_fmr_2br,hud_affordability_ratio,hud_housing_wage,svi_overall,svi_socioeconomic,svi_housing_transport,svi_pct_below_poverty,svi_pct_unemployed,igs_change,igs_lag1,igs_rolling_3yr,igs_trend,gap_to_benchmark,vulnerability_adjusted_igs
1121010301,2017,34,41,26,30,38.0,,26,34,50.7,,,,8,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38,33447.83,625,0.595,12.02,,,,,,,,34.0,,13.625,
1121010301,2018,33,37,29,24,38.0,,28,35,53.5,,,,13,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,33946.42,640,0.593,12.31,,,,,,-1.0,34.0,33.5,-1.0,14.625,
1121010301,2019,42,56,29,30,38.0,,32,30,52.7,,,,14,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,34343.92,659,0.593,12.67,,,,,,9.0,33.0,36.333333333333336,3.999999999999998,5.625,
1121010301,2020,32,32,31,35,33.0,,34,40,50.1,,,,23,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07,34592.17,672,0.587,12.92,,,,,,-10.0,42.0,35.666666666666664,-0.4999999999999977,15.625,
1121010301,2021,29,25,33,45,19.0,,23,67,41.5,,,,38,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,33868.0,687,0.583,13.21,,,,,,-3.0,32.0,34.333333333333336,-6.500000000000001,18.625,
1121010301,2022,38,42,33,48,23.0,,24,57,42.6,,,,46,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,34244.92,741,0.599,14.25,,,,,,9.0,29.0,33.0,3.000000000000001,9.625,
1121010301,2023,37,39,35,57,31.0,,28,57,45.1,,,,34,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,34685.92,798,0.614,15.35,,,,,,-1.0,38.0,34.666666666666664,3.9999999999999942,10.625,
1121010301,2024,42,41,42,57,76.0,,50,57,45.1,,,,34,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41,34839.33,846,0.621,16.27,,,,,,5.0,37.0,39.0,2.0000000000000018,5.625,
1121010400,2017,52,51,52,46,94.0,,54,48,43.0,,,,37,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38,33447.83,625,0.595,12.02,,,,,,,,52.0,,-4.375,
1121010400,2018,50,46,53,44,94.0,,54,40,42.2,,,,39,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,33946.42,640,0.593,12.31,,,,,,-2.0,52.0,51.0,-2.0,-2.375,
1121010400,2019,50,43,56,44,94.0,,57,29,41.0,,,,47,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,34343.92,659,0.593,12.67,,,,,,0.0,50.0,50.666666666666664,-1.0000000000000018,-2.375,
1121010400,2020,50,47,53,46,95.0,,58,18,40.1,,,,41,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07,34592.17,672,0.587,12.92,,,,,,0.0,50.0,50.0,-3.17764371615651e-15,-2.375,
1121010400,2021,50,46,53,58,95.0,,54,24,41.6,,,,49,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,33868.0,687,0.583,13.21,,,,,,0.0,50.0,50.0,-3.17764371615651e-15,-2.375,
1121010400,2022,47,43,51,60,98.0,,55,26,41.5,,,,36,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,34244.92,741,0.599,14.25,,,,,,-3.0,50.0,49.0,-1.500000000000001,0.625,
1121010400,2023,54,62,47,56,98.0,,55,25,45.6,,,,31,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,34685.92,798,0.614,15.35,,,,,,7.0,47.0,50.333333333333336,1.9999999999999971,-6.375,
1121010400,2024,52,56,47,56,98.0,,55,25,45.6,,,,31,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41,34839.33,846,0.621,16.27,,,,,,-2.0,54.0,51.0,2.4999999999999964,-4.375,
1121010500,2017,22,22,22,42,,,2,74,54.5,,,,16,4.2,34207.0,0.4801,20520.0,2682.0,909.0,1896.0,585.0,154.0,23.0,0.0,0.0,2251.0,1277.0,948.0,329.0,610.0,76.0,10.0,12.0,231.0,88300.0,1186.0,1016.0,1016.0,170.0,2682.0,40.9,2682.0,670.0,1784.0,118.0,813.0,323.0,298.0,Census Tract 105; Talladega County; Alabama,33.89261744966443,40.189873417721515,9.335443037974684,25.763508222396243,56.73034207019103,53.93442622950819,85.66610455311972,85.66610455311972,24.981357196122296,66.51752423564504,4.399701715137957,5.38,33447.83,625,0.595,12.02,0.89,0.92,0.85,33.9,25.8,,,22.0,,25.625,12.209999999999999
1121010500,2018,22,21,23,42,,,2,67,53.2,,,,17,5.9,34207.0,0.4801,20520.0,2682.0,909.0,1896.0,585.0,154.0,23.0,0.0,0.0,2251.0,1277.0,948.0,329.0,610.0,76.0,10.0,12.0,231.0,88300.0,1186.0,1016.0,1016.0,170.0,2682.0,40.9,2682.0,670.0,1784.0,118.0,813.0,323.0,298.0,Census Tract 105; Talladega County; Alabama,33.89261744966443,40.189873417721515,9.335443037974684,25.763508222396243,56.73034207019103,53.93442622950819,85.66610455311972,85.66610455311972,24.981357196122296,66.51752423564504,4.399701715137957,4.49,33946.42,640,0.593,12.31,0.89,0.92,0.85,33.9,25.8,0.0,22.0,22.0,0.0,25.625,12.209999999999999
